Team1,Team2,Score
Maryland-2002,Siena-2002,15
Wisconsin-2002,St. John's-2002,10
Marquette-2002,Tulsa-2002,-2
Kentucky-2002,Valparaiso-2002,15
Texas Tech-2002,Southern Illinois-2002,-8
Georgia-2002,Murray State-2002,17
North Carolina State-2002,Michigan State-2002,11
Connecticut-2002,Hampton-2002,11
Maryland-2002,Wisconsin-2002,30
Tulsa-2002,Kentucky-2002,-5
Southern Illinois-2002,Georgia-2002,2
North Carolina State-2002,Connecticut-2002,-3
Maryland-2002,Kentucky-2002,10
Southern Illinois-2002,Connecticut-2002,-12
Maryland-2002,Connecticut-2002,8
Kansas-2002,Holy Cross-2002,11
Stanford-2002,Western Kentucky-2002,16
Florida-2002,Creighton-2002,-1
Illinois-2002,San Diego State-2002,29
Texas-2002,Boston College-2002,13
Mississippi State-2002,McNeese State-2002,12
Wake Forest-2002,Pepperdine-2002,9
Oregon-2002,Montana-2002,19
Kansas-2002,Stanford-2002,23
Creighton-2002,Illinois-2002,-12
Texas-2002,Mississippi State-2002,4
Wake Forest-2002,Oregon-2002,-5
Kansas-2002,Illinois-2002,4
Texas-2002,Oregon-2002,-2
Kansas-2002,Oregon-2002,18
Duke-2002,Winthrop-2002,47
Notre Dame-2002,Charlotte-2002,19
Indiana-2002,Utah-2002,19
Southern California-2002,UNC-Wilmington-2002,-4
California-2002,Pennsylvania-2002,7
Pittsburgh-2002,Central Connecticut State-2002,17
Oklahoma State-2002,Kent State-2002,-8
Alabama-2002,Florida Atlantic-2002,8
Duke-2002,Notre Dame-2002,7
Indiana-2002,UNC-Wilmington-2002,9
California-2002,Pittsburgh-2002,-13
Kent State-2002,Alabama-2002,13
Duke-2002,Indiana-2002,-1
Pittsburgh-2002,Kent State-2002,-5
Indiana-2002,Kent State-2002,12
Cincinnati-2002,Boston University-2002,38
UCLA-2002,Ole Miss-2002,22
Miami (FL)-2002,Missouri-2002,-13
Ohio State-2002,Davidson-2002,5
Gonzaga-2002,Wyoming-2002,-7
Arizona-2002,UC-Santa Barbara-2002,5
Xavier-2002,Hawaii-2002,12
Oklahoma-2002,Illinois-Chicago-2002,8
Cincinnati-2002,UCLA-2002,-4
Missouri-2002,Ohio State-2002,16
Wyoming-2002,Arizona-2002,-8
Xavier-2002,Oklahoma-2002,-13
UCLA-2002,Missouri-2002,-9
Arizona-2002,Oklahoma-2002,-21
Missouri-2002,Oklahoma-2002,-6
Maryland-2002,Kansas-2002,9
Indiana-2002,Oklahoma-2002,9
Maryland-2002,Indiana-2002,12
Arizona-2003,Vermont-2003,29
Cincinnati-2003,Gonzaga-2003,-5
Notre Dame-2003,UW–Milwaukee-2003,1
Illinois-2003,Western Kentucky-2003,5
Creighton-2003,Central Michigan-2003,-6
Duke-2003,Colorado State-2003,10
Memphis-2003,Arizona State-2003,-13
Kansas-2003,Utah St-2003,3
Arizona-2003,Gonzaga-2003,1
Notre Dame-2003,Illinois-2003,8
Central Michigan-2003,Duke-2003,-26
Arizona St-2003,Kansas-2003,-32
Arizona-2003,Notre Dame-2003,17
Duke-2003,Kansas-2003,-4
Arizona-2003,Kansas-2003,-3
Kentucky-2003,IUPUI-2003,31
Oregon-2003,Utah-2003,-2
Wisconsin-2003,Weber State-2003,7
Dayton-2003,Tulsa-2003,-13
Missouri-2003,Southern Illinois-2003,1
Marquette-2003,Holy Cross-2003,4
Indiana-2003,Alabama-2003,5
Pittsburgh-2003,Wagner-2003,26
Kentucky-2003,Utah-2003,20
