Team1,Team2,Score
Maryland-2002,Siena-2002,0.6339285714285714
Wisconsin-2002,St Johns-2002,0.5892857142857143
Marquette-2002,Tulsa-2002,0.4696969696969697
Kentucky-2002,Valparaiso-2002,0.6339285714285714
Texas Tech-2002,S Illinois-2002,0.3787878787878788
Georgia-2002,Murray St-2002,0.6517857142857143
NC State-2002,Michigan St-2002,0.5982142857142857
Connecticut-2002,Hampton-2002,0.5982142857142857
Maryland-2002,Wisconsin-2002,0.7678571428571428
Tulsa-2002,Kentucky-2002,0.42424242424242425
S Illinois-2002,Georgia-2002,0.5178571428571429
NC State-2002,Connecticut-2002,0.45454545454545453
Maryland-2002,Kentucky-2002,0.5892857142857143
S Illinois-2002,Connecticut-2002,0.3181818181818182
Maryland-2002,Connecticut-2002,0.5714285714285714
Kansas-2002,Holy Cross-2002,0.5982142857142857
Stanford-2002,W Kentucky-2002,0.6428571428571428
Florida-2002,Creighton-2002,0.48484848484848486
Illinois-2002,San Diego St-2002,0.7589285714285714
Texas-2002,Boston Col-2002,0.6160714285714286
Miss State-2002,McNeese St-2002,0.6071428571428571
Wake Forest-2002,Pepperdine-2002,0.5803571428571429
Oregon-2002,Montana-2002,0.6696428571428572
Kansas-2002,Stanford-2002,0.7053571428571428
Creighton-2002,Illinois-2002,0.3181818181818182
Texas-2002,Miss State-2002,0.5357142857142857
Wake Forest-2002,Oregon-2002,0.42424242424242425
Kansas-2002,Illinois-2002,0.5357142857142857
Texas-2002,Oregon-2002,0.4696969696969697
Kansas-2002,Oregon-2002,0.6607142857142857
Duke-2002,Winthrop-2002,0.9196428571428572
Notre Dame-2002,Charlotte-2002,0.6696428571428572
Indiana-2002,Utah-2002,0.6696428571428572
USC-2002,NC-Wilmgton-2002,0.4393939393939394
California-2002,U Penn-2002,0.5625
Pittsburgh-2002,Central Conn-2002,0.6517857142857143
Oklahoma St-2002,Kent State-2002,0.3787878787878788
Alabama-2002,Fla Atlantic-2002,0.5714285714285714
Duke-2002,Notre Dame-2002,0.5625
Indiana-2002,NC-Wilmgton-2002,0.5803571428571429
California-2002,Pittsburgh-2002,0.30303030303030304
Kent State-2002,Alabama-2002,0.6160714285714286
Duke-2002,Indiana-2002,0.48484848484848486
Pittsburgh-2002,Kent State-2002,0.42424242424242425
Indiana-2002,Kent State-2002,0.6071428571428571
Cincinnati-2002,Boston U-2002,0.8392857142857143
UCLA-2002,Mississippi-2002,0.6964285714285714
Miami (FL)-2002,Missouri-2002,0.30303030303030304
Ohio State-2002,Davidson-2002,0.5446428571428571
Gonzaga-2002,Wyoming-2002,0.3939393939393939
Arizona-2002,UCSB-2002,0.5446428571428571
Xavier-2002,Hawaii-2002,0.6071428571428571
Oklahoma-2002,IL-Chicago-2002,0.5714285714285714
Cincinnati-2002,UCLA-2002,0.4393939393939394
Missouri-2002,Ohio State-2002,0.6428571428571428
Wyoming-2002,Arizona-2002,0.3787878787878788
Xavier-2002,Oklahoma-2002,0.30303030303030304
UCLA-2002,Missouri-2002,0.36363636363636365
Arizona-2002,Oklahoma-2002,0.18181818181818182
Missouri-2002,Oklahoma-2002,0.4090909090909091
Maryland-2002,Kansas-2002,0.5803571428571429
Indiana-2002,Oklahoma-2002,0.5803571428571429
Maryland-2002,Indiana-2002,0.6071428571428571
Arizona-2003,Vermont-2003,0.7589285714285714
Cincinnati-2003,Gonzaga-2003,0.42424242424242425
Notre Dame-2003,WI-Milwkee-2003,0.5089285714285714
Illinois-2003,W Kentucky-2003,0.5446428571428571
Creighton-2003,Central Mich-2003,0.4090909090909091
Duke-2003,Colorado St-2003,0.5892857142857143
Memphis-2003,Arizona St-2003,0.30303030303030304
Kansas-2003,Utah State-2003,0.5267857142857143
Arizona-2003,Gonzaga-2003,0.5089285714285714
Notre Dame-2003,Illinois-2003,0.5714285714285714
Central Mich-2003,Duke-2003,0.10606060606060606
Arizona St-2003,Kansas-2003,0.015151515151515152
Arizona-2003,Notre Dame-2003,0.6517857142857143
Duke-2003,Kansas-2003,0.4393939393939394
Arizona-2003,Kansas-2003,0.45454545454545453
Kentucky-2003,IUPUI-2003,0.7767857142857143
Oregon-2003,Utah-2003,0.4696969696969697
Wisconsin-2003,Weber State-2003,0.5625
Dayton-2003,Tulsa-2003,0.30303030303030304
Missouri-2003,S Illinois-2003,0.5089285714285714
Marquette-2003,Holy Cross-2003,0.5357142857142857
Indiana-2003,Alabama-2003,0.5446428571428571
Pittsburgh-2003,Wagner-2003,0.7321428571428572
Kentucky-2003,Utah-2003,0.6785714285714286
Wisconsin-2003,Tulsa-2003,0.5089285714285714
Missouri-2003,Marquette-2003,0.36363636363636365
Indiana-2003,Pittsburgh-2003,0.16666666666666666
Kentucky-2003,Wisconsin-2003,0.5535714285714286
Marquette-2003,Pittsburgh-2003,0.5267857142857143
Kentucky-2003,Marquette-2003,0.2878787878787879
Texas-2003,NC-Asheville-2003,0.6875
LSU-2003,Purdue-2003,0.13636363636363635
Connecticut-2003,BYU-2003,0.5446428571428571
Stanford-2003,San Diego-2003,0.5714285714285714
Maryland-2003,NC-Wilmgton-2003,0.5178571428571429
Xavier-2003,Troy-2003,0.6071428571428571
Michigan St-2003,Colorado-2003,0.6339285714285714
Florida-2003,Sam Hous St-2003,0.7678571428571428
Texas-2003,Purdue-2003,0.5892857142857143
Connecticut-2003,Stanford-2003,0.5982142857142857
Maryland-2003,Xavier-2003,0.6160714285714286
Michigan St-2003,Florida-2003,0.6964285714285714
Texas-2003,Connecticut-2003,0.5357142857142857
Maryland-2003,Michigan St-2003,0.4696969696969697
Texas-2003,Michigan St-2003,0.5803571428571429
Oklahoma-2003,S Car State-2003,0.6517857142857143
California-2003,NC State-2003,0.5178571428571429
Miss State-2003,Butler-2003,0.48484848484848486
Louisville-2003,Austin Peay-2003,0.6964285714285714
Oklahoma St-2003,U Penn-2003,0.625
Syracuse-2003,Manhattan-2003,0.5982142857142857
St Josephs-2003,Auburn-2003,0.4696969696969697
Wake Forest-2003,E Tenn St-2003,0.5267857142857143
Oklahoma-2003,California-2003,0.5803571428571429
Butler-2003,Louisville-2003,0.5714285714285714
Oklahoma St-2003,Syracuse-2003,0.3181818181818182
Auburn-2003,Wake Forest-2003,0.5535714285714286
Oklahoma-2003,Butler-2003,0.5982142857142857
Syracuse-2003,Auburn-2003,0.5089285714285714
Oklahoma-2003,Syracuse-2003,0.25757575757575757
Syracuse-2003,Texas-2003,0.5982142857142857
Marquette-2003,Kansas-2003,0.0
Syracuse-2003,Kansas-2003,0.5267857142857143
Morehead St-2009,Alabama St-2009,0.6339285714285714
Louisville-2009,Morehead St-2009,0.6785714285714286
Ohio State-2009,Siena-2009,0.4696969696969697
Utah-2009,Arizona-2009,0.30303030303030304
Wake Forest-2009,Cleveland St-2009,0.2727272727272727
W Virginia-2009,Dayton-2009,0.3787878787878788
Kansas-2009,N Dakota St-2009,0.5892857142857143
Boston Col-2009,USC-2009,0.24242424242424243
Michigan St-2009,Rob Morris-2009,0.6339285714285714
Louisville-2009,Siena-2009,0.5625
Arizona-2009,Cleveland St-2009,0.625
Dayton-2009,Kansas-2009,0.24242424242424243
USC-2009,Michigan St-2009,0.42424242424242425
Louisville-2009,Arizona-2009,0.8482142857142857
Kansas-2009,Michigan St-2009,0.42424242424242425
Louisville-2009,Michigan St-2009,0.3181818181818182
Connecticut-2009,Chattanooga-2009,1.0
BYU-2009,Texas A&amp;M-2009,0.30303030303030304
Purdue-2009,N Iowa-2009,0.5446428571428571
Washington-2009,Miss State-2009,0.6160714285714286
Marquette-2009,Utah State-2009,0.5089285714285714
Missouri-2009,Cornell-2009,0.6696428571428572
California-2009,Maryland-2009,0.30303030303030304
Memphis-2009,Cal St Nrdge-2009,0.5982142857142857
Connecticut-2009,Texas A&amp;M-2009,0.7321428571428572
Purdue-2009,Washington-2009,0.5178571428571429
Marquette-2009,Missouri-2009,0.4393939393939394
Maryland-2009,Memphis-2009,0.21212121212121213
Connecticut-2009,Purdue-2009,0.6071428571428571
Missouri-2009,Memphis-2009,0.5982142857142857
Connecticut-2009,Missouri-2009,0.5625
Pittsburgh-2009,E Tenn St-2009,0.5892857142857143
Oklahoma St-2009,Tennessee-2009,0.5178571428571429
Florida St-2009,Wisconsin-2009,0.4696969696969697
Xavier-2009,Portland St-2009,0.6607142857142857
UCLA-2009,VCU-2009,0.5089285714285714
Villanova-2009,American-2009,0.6160714285714286
Texas-2009,Minnesota-2009,0.625
Duke-2009,Binghamton-2009,0.7142857142857143
Pittsburgh-2009,Oklahoma St-2009,0.5714285714285714
Wisconsin-2009,Xavier-2009,0.3333333333333333
UCLA-2009,Villanova-2009,0.19696969696969696
Texas-2009,Duke-2009,0.42424242424242425
Pittsburgh-2009,Xavier-2009,0.42424242424242425
Villanova-2009,Duke-2009,0.7053571428571428
Pittsburgh-2009,Villanova-2009,0.4696969696969697
N Carolina-2009,Radford-2009,0.8839285714285714
LSU-2009,Butler-2009,0.5357142857142857
Illinois-2009,W Kentucky-2009,0.4393939393939394
Gonzaga-2009,Akron-2009,0.6160714285714286
Arizona St-2009,Temple-2009,0.5803571428571429
Syracuse-2009,Ste F Austin-2009,0.6339285714285714
Clemson-2009,Michigan-2009,0.45454545454545453
Oklahoma-2009,Morgan St-2009,0.75
N Carolina-2009,LSU-2009,0.625
W Kentucky-2009,Gonzaga-2009,0.4696969696969697
Arizona St-2009,Syracuse-2009,0.3333333333333333
Michigan-2009,Oklahoma-2009,0.3484848484848485
N Carolina-2009,Gonzaga-2009,0.6875
Syracuse-2009,Oklahoma-2009,0.30303030303030304
N Carolina-2009,Oklahoma-2009,0.6071428571428571
Michigan St-2009,Connecticut-2009,0.5803571428571429
Villanova-2009,N Carolina-2009,0.2878787878787879
Michigan St-2009,N Carolina-2009,0.24242424242424243
TX-San Ant-2011,Alabama St-2011,0.5803571428571429
Clemson-2011,UAB-2011,0.6607142857142857
NC-Asheville-2011,AR Lit Rock-2011,0.5357142857142857
VCU-2011,USC-2011,0.6160714285714286
Ohio State-2011,TX-San Ant-2011,0.7589285714285714
