Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Maryland-2002,1,1.10766,14.1333,0.530407,0.354966,0.709884,0.677281,0.0969572,0.114933,1.48544,0.232007,0.924132,0.445848,0.8667,N/A,N/A,N/A,0.178334,N/A
Siena-2002,16,0.957464,1.35294,0.47751,0.294064,0.741667,0.707836,0.0734463,0.0752697,0.833977,0.292176,0.938848,0.449923,0.4706,N/A,N/A,N/A,0.209622,N/A
Wisconsin-2002,8,1.00852,1.62069,0.499011,0.281642,0.717993,0.715651,0.0353403,0.0883562,0.989189,0.254089,0.983943,0.512762,0.5862,N/A,N/A,N/A,0.193443,N/A
St Johns-2002,9,0.94359,1.87097,0.435424,0.380952,0.666667,0.6551,0.0691057,0.138076,0.759062,0.267062,0.918486,0.469222,0.6452,N/A,N/A,N/A,0.203002,N/A
Marquette-2002,5,1.06779,12.8438,0.520483,0.388482,0.691655,0.685828,0.0634921,0.122541,1.02262,0.26467,0.880563,0.457966,0.8125,N/A,N/A,N/A,0.20135,N/A
Tulsa-2002,12,1.09831,11.129,0.539323,0.297297,0.752212,0.696239,0.0772201,0.10961,1.33584,0.229385,0.945825,0.478764,0.8065,N/A,N/A,N/A,0.176348,N/A
Kentucky-2002,4,1.07231,11.6552,0.540179,0.412883,0.734694,0.726013,0.0822249,0.100927,1.04019,0.250848,0.909047,0.464631,0.8966,N/A,N/A,N/A,0.200385,N/A
Valparaiso-2002,13,1.07288,11.4516,0.518089,0.363636,0.671809,0.660853,0.0683333,0.139144,1.30244,0.236678,0.914053,0.466111,0.7742,N/A,N/A,N/A,0.183437,N/A
Texas Tech-2002,6,1.06826,8,0.505438,0.32573,0.684492,0.641804,0.0653789,0.101016,1.51571,0.209403,0.960737,0.470035,0.7419,N/A,N/A,N/A,0.165614,N/A
S Illinois-2002,11,1.06503,8.90909,0.516212,0.362147,0.620647,0.714541,0.0888268,0.103739,1.08261,0.287834,0.940031,0.456704,0.7879,N/A,N/A,N/A,0.195574,N/A
Georgia-2002,3,1.0637,5.3,0.523005,0.365209,0.734884,0.668373,0.0634146,0.120888,1.07963,0.230371,0.969841,0.467209,0.7,N/A,N/A,N/A,0.194789,N/A
Murray St-2002,14,1.04389,2.68966,0.491702,0.401354,0.723327,0.696872,0.0871918,0.102662,0.973621,0.261789,1.00749,0.503007,0.5862,N/A,N/A,N/A,0.194592,N/A
NC State-2002,7,1.06982,9.12903,0.53125,0.289474,0.749263,0.699674,0.0427196,0.111468,1.23729,0.266436,0.941587,0.480144,0.7097,N/A,N/A,N/A,0.187139,N/A
Michigan St-2002,10,1.04637,5.86207,0.522107,0.379001,0.765595,0.713228,0.0503995,0.075967,0.958042,0.277332,0.957912,0.457283,0.6207,N/A,N/A,N/A,0.223218,N/A
Connecticut-2002,2,1.03132,9.13333,0.517146,0.385439,0.691285,0.661032,0.11048,0.103221,0.91195,0.238643,0.910459,0.426433,0.8,N/A,N/A,N/A,0.210411,N/A
Hampton-2002,15,1.08636,9.12903,0.537996,0.384134,0.668814,0.663785,0.0583824,0.109383,0.928726,0.250395,0.962045,0.479379,0.8065,N/A,N/A,N/A,0.203391,N/A
Kansas-2002,1,1.13487,16.8276,0.555018,0.406626,0.71408,0.697023,0.0882353,0.120018,1.32265,0.220103,0.92791,0.464912,0.931,N/A,N/A,N/A,0.198474,N/A
