Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Maryland-2002,0,0.666472167,0.673671038,0.583515625,0.688869005,0.49797062,0.327496206,0.601031393,0.515194328,0.593345519,0.36197248,0.41848278,0.321465428,0.810572687,N/A,N/A,N/A,0.417972801,N/A
Siena-2002,1,0.228276345,0.286424953,0.306028988,0.484768358,0.626841343,0.471059469,0.429101604,0.179639092,0.190375807,0.741585227,0.469252292,0.346798961,0.247690777,N/A,N/A,N/A,0.648097616,N/A
Wisconsin-2002,0.466666667,0.377231882,0.294537802,0.418818753,0.443138556,0.530850231,0.507778399,0.150441216,0.290352109,0.286383922,0.501290213,0.624827934,0.73745757,0.411965326,N/A,N/A,N/A,0.529100257,N/A
St Johns-2002,0.533333333,0.187799043,0.302121309,0.085254604,0.77595579,0.322738386,0.223278345,0.397359798,0.710986278,0.144036297,0.583138277,0.399004343,0.466777326,0.495807873,N/A,N/A,N/A,0.599407183,N/A
Marquette-2002,0.266666667,0.55015171,0.634599069,0.531456389,0.801191051,0.424057382,0.367654452,0.356308836,0.579558722,0.307063041,0.568046889,0.268171766,0.396800826,0.733551229,N/A,N/A,N/A,0.58725664,N/A
Tulsa-2002,0.733333333,0.639193605,0.582640471,0.630287102,0.495603099,0.669598219,0.416570739,0.456698533,0.470161249,0.500808769,0.345429997,0.493322615,0.526098201,0.725024869,N/A,N/A,N/A,0.403365671,N/A
Kentucky-2002,0.2,0.563338779,0.59858438,0.6347775,0.882966031,0.598567878,0.556464458,0.493297481,0.396702255,0.31793116,0.480842392,0.366440235,0.438235916,0.853062385,N/A,N/A,N/A,0.580159016,N/A
Valparaiso-2002,0.8,0.56500175,0.592415281,0.518897964,0.717924743,0.343587685,0.250308928,0.391711415,0.720021658,0.480148826,0.391442325,0.383710701,0.447436806,0.679124627,N/A,N/A,N/A,0.455505623,N/A
Texas Tech-2002,0.333333333,0.551522931,0.487831483,0.452533455,0.590890506,0.395013522,0.16080683,0.370106569,0.397455204,0.612069365,0.219361392,0.544768318,0.471831599,0.633224385,N/A,N/A,N/A,0.324416561,N/A
S Illinois-2002,0.666666667,0.542099428,0.515376994,0.509051613,0.712934663,0.136140812,0.502563042,0.541575653,0.420492039,0.344170525,0.714191078,0.473333586,0.388955202,0.69859315,N/A,N/A,N/A,0.544773869,N/A
